,year,constructorId,constructorResultsId,raceId,points,constructorName,rank
6,2000,18,26563,2822,0.0,Minardi,9.0
8,2000,20,26571,2822,0.0,Prost,9.0
7,2000,19,26540,2822,4.0,Jaguar,8.0
3,2000,15,26522,2822,6.0,Sauber,7.0
9,2000,21,26554,2822,7.0,Arrows,6.0
5,2000,17,26531,2822,17.0,Jordan,5.0
4,2000,16,26509,2822,20.0,BAR,4.0
10,2000,22,26517,2822,20.0,Benetton,4.0
1,2000,3,26510,2822,36.0,Williams,3.0
0,2000,1,26461,2822,162.0,McLaren,2.0
2,2000,6,26442,2822,170.0,Ferrari,1.0
17,2001,18,23399,2533,0.0,Minardi,11.0
20,2001,21,23378,2533,1.0,Arrows,10.0
19,2001,20,23360,2533,4.0,Prost,9.0
18,2001,19,23363,2533,9.0,Jaguar,8.0
21,2001,22,23366,2533,10.0,Benetton,7.0
15,2001,16,23334,2533,17.0,BAR,6.0
16,2001,17,23340,2533,19.0,Jordan,5.0
14,2001,15,23338,2533,21.0,Sauber,4.0
12,2001,3,23314,2533,80.0,Williams,3.0
11,2001,1,23294,2533,102.0,McLaren,2.0
13,2001,6,23265,2533,179.0,Ferrari,1.0
23,2002,2,3018,124,0.0,BMW Sauber,10.0
27,2002,7,20265,2244,2.0,Toyota,9.0
31,2002,18,20289,2244,2.0,Minardi,9.0
33,2002,21,13990,1554,2.0,Arrows,9.0
29,2002,16,20250,2244,7.0,BAR,8.0
32,2002,19,20258,2244,8.0,Jaguar,7.0
30,2002,17,20249,2244,9.0,Jordan,6.0
28,2002,15,20245,2244,11.0,Sauber,5.0
25,2002,4,20229,2244,23.0,Renault,4.0
22,2002,1,20194,2244,65.0,McLaren,3.0
24,2002,3,20184,2244,92.0,Williams,2.0
26,2002,6,20154,2244,221.0,Ferrari,1.0
42,2003,18,16334,1848,0.0,Minardi,10.0
41,2003,17,16314,1848,13.0,Jordan,9.0
38,2003,7,16301,1848,16.0,Toyota,8.0
43,2003,19,16299,1848,18.0,Jaguar,7.0
39,2003,15,16297,1848,19.0,Sauber,6.0
40,2003,16,16286,1848,26.0,BAR,5.0
36,2003,4,16256,1848,88.0,Renault,4.0
34,2003,1,16242,1848,142.0,McLaren,3.0
35,2003,3,16240,1848,144.0,Williams,2.0
37,2003,6,16231,1848,158.0,Ferrari,1.0
52,2004,18,15324,1773,1.0,Minardi,10.0
51,2004,17,15308,1773,5.0,Jordan,9.0
48,2004,7,15288,1773,9.0,Toyota,8.0
53,2004,19,15278,1773,10.0,Jaguar,7.0
49,2004,15,15255,1773,34.0,Sauber,6.0
44,2004,1,15246,1773,69.0,McLaren,5.0
45,2004,3,15236,1773,88.0,Williams,4.0
46,2004,4,15225,1773,105.0,Renault,3.0
50,2004,16,15211,1773,119.0,BAR,2.0
47,2004,6,15179,1773,262.0,Ferrari,1.0
63,2005,18,12663,1520,7.0,Minardi,10.0
62,2005,17,12647,1520,12.0,Jordan,9.0
60,2005,15,12616,1520,20.0,Sauber,8.0
59,2005,9,12617,1520,34.0,Red Bull,7.0
61,2005,16,11367,1369,38.0,BAR,6.0
55,2005,3,12596,1520,66.0,Williams,5.0
58,2005,7,12578,1520,88.0,Toyota,4.0
57,2005,6,12577,1520,100.0,Ferrari,3.0
54,2005,1,12535,1520,182.0,McLaren,2.0
56,2005,4,12542,1520,191.0,Renault,1.0
71,2006,8,8539,1107,0.0,Super Aguri,10.0
74,2006,13,6323,833,0.0,MF1,10.0
75,2006,14,2206,274,0.0,Spyker MF1,10.0
68,2006,5,8502,1107,1.0,Toro Rosso,9.0
66,2006,3,8499,1107,11.0,Williams,8.0
72,2006,9,8488,1107,16.0,Red Bull,7.0
70,2006,7,8470,1107,35.0,Toyota,6.0
65,2006,2,8465,1107,36.0,BMW Sauber,5.0
73,2006,11,8438,1107,86.0,Honda,4.0
64,2006,1,8423,1107,110.0,McLaren,3.0
69,2006,6,8405,1107,201.0,Ferrari,2.0
67,2006,4,8401,1107,206.0,Renault,1.0
86,2007,12,4793,748,1.0,Spyker,11.0
83,2007,8,4770,748,4.0,Super Aguri,10.0
85,2007,11,4752,748,6.0,Honda,9.0
80,2007,5,4779,748,8.0,Toro Rosso,8.0
82,2007,7,4745,748,13.0,Toyota,7.0
84,2007,9,4733,748,24.0,Red Bull,6.0
78,2007,3,4718,748,33.0,Williams,5.0
79,2007,4,4708,748,51.0,Renault,4.0
77,2007,2,4685,748,101.0,BMW Sauber,3.0
81,2007,6,4653,748,204.0,Ferrari,2.0
76,2007,1,4650,748,218.0,McLaren,1.0
94,2008,8,104,78,0.0,Super Aguri,10.0
96,2008,10,1762,477,0.0,Force India,10.0
97,2008,11,1732,477,14.0,Honda,9.0
89,2008,3,1716,477,26.0,Williams,8.0
95,2008,9,1699,477,29.0,Red Bull,7.0
91,2008,5,1711,477,39.0,Toro Rosso,6.0
93,2008,7,1685,477,56.0,Toyota,5.0
90,2008,4,1680,477,80.0,Renault,4.0
88,2008,2,1649,477,135.0,BMW Sauber,3.0
87,2008,1,1640,477,151.0,McLaren,2.0
92,2008,6,1642,477,172.0,Ferrari,1.0
102,2009,5,70798,153,8.0,Toro Rosso,10.0
106,2009,10,70790,153,13.0,Force India,9.0
101,2009,4,70764,153,26.0,Renault,8.0
100,2009,3,70756,153,34.5,Williams,7.0
99,2009,2,70760,153,36.0,BMW Sauber,6.0
104,2009,7,70746,153,59.5,Toyota,5.0
103,2009,6,70734,153,70.0,Ferrari,4.0
98,2009,1,70737,153,71.0,McLaren,3.0
105,2009,9,70708,153,153.5,Red Bull,2.0
