year,BAR,BMW Sauber,BRM,Benetton,Brabham,Brabham-Climax,Brabham-Ford,Brabham-Repco,Brawn,Cooper,Cooper-Climax,Cooper-Maserati,Ferrari,Gordini,Jordan,Ligier,Lotus-Climax,Lotus-Ford,March,March-Ford,Maserati,Matra-Ford,McLaren,McLaren-Ford,Mercedes,Porsche,Racing Point,Red Bull,Renault,Team Lotus,Tyrrell,Vanwall,Williams
1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.318435754189945,0.0,0.0,34.07821229050279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.402234636871505,0.0
1959,0.0,0.0,13.846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.76923076923077,0.0,29.230769230769234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.94267515923567,0.0,18.471337579617835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.56687898089172,0.0,0.0,0.0
1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.370860927152314,0.0,0.0,0.0,23.178807947019866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2317880794702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,0.0,0.0,28.865979381443296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.072164948453608,0.0,0.0,0.0,0.0,0.0,19.587628865979383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,0.0,0.0,20.833333333333336,0.0,13.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.25925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,0.0,0.0,25.37313432835821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.378109452736318,0.0,0.0,0.0,19.900497512437813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,0.0,0.0,29.1866028708134,0.0,0.0,14.832535885167463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.751196172248804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.07344632768362,0.0,0.0,0.0,19.774011299435028,18.07909604519774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.385964912280706,0.0,0.0,0.0,12.280701754385964,0.0,0.0,0.0,0.0,0.0,19.298245614035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.39622641509434,0.0,0.0,0.0,16.9811320754717,0.0,18.49056603773585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,0.0,0.0,23.394495412844037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55963302752294,0.0,0.0,0.0,30.275229357798167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.89041095890411,0.0,0.0,0.0,0.0,0.0,16.43835616438356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.232876712328768,0.0,0.0,0.0
1971,0.0,0.0,15.72052401746725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.847161572052403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.877729257641924,0.0,0.0
1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.075757575757574,0.0,0.0,0.0,0.0,0.0,0.0,23.106060606060606,19.318181818181817,0.0,0.0
1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,30.094043887147336,26.959247648902824,0.0,0.0
