year,BAR,BMW Sauber,Brawn,Ferrari,McLaren,Mercedes,Racing Point,Red Bull,Renault,Rest,Williams
2000,0.0,0.0,0.0,38.46153846153847,36.65158371040724,0.0,0.0,0.0,0.0,16.742081447963802,8.144796380090497
2001,0.0,0.0,0.0,40.49773755656109,23.07692307692308,0.0,0.0,0.0,0.0,18.32579185520362,18.099547511312217
2002,0.0,0.0,0.0,50.0,14.705882352941178,0.0,0.0,0.0,0.0,14.479638009049774,20.81447963800905
2003,0.0,0.0,0.0,25.320512820512818,22.756410256410252,0.0,0.0,0.0,0.0,28.846153846153843,23.07692307692308
2004,16.951566951566953,0.0,0.0,37.32193732193732,0.0,0.0,0.0,0.0,14.957264957264956,30.76923076923077,0.0
2005,0.0,0.0,0.0,13.550135501355012,24.66124661246613,0.0,0.0,0.0,25.88075880758808,35.90785907859079,0.0
2006,0.0,0.0,0.0,28.63247863247863,15.669515669515668,0.0,0.0,0.0,29.34472934472934,26.353276353276357,0.0
2007,0.0,15.233785822021115,0.0,30.76923076923077,32.880844645550525,0.0,0.0,0.0,0.0,21.116138763197586,0.0
2008,0.0,19.230769230769237,0.0,24.501424501424506,21.50997150997151,0.0,0.0,0.0,0.0,34.75783475783476,0.0
2009,0.0,0.0,26.728826728826725,0.0,11.033411033411031,0.0,0.0,23.853923853923853,0.0,38.38383838383839,0.0
2010,0.0,0.0,0.0,20.635747785304847,23.65815528921313,0.0,0.0,25.951016154247004,0.0,29.75508077123502,0.0
2011,0.0,0.0,0.0,19.541427826993228,25.89890568004169,0.0,0.0,33.87180823345493,0.0,20.68785825951016,0.0
2012,0.0,0.0,0.0,19.8019801980198,18.712871287128717,0.0,0.0,22.77227722772277,0.0,38.71287128712871,0.0
2013,0.0,0.0,0.0,18.44710786868161,0.0,18.759770713913497,0.0,31.057842626367897,0.0,31.735278791036997,0.0
2014,0.0,0.0,0.0,0.0,0.0,34.7029702970297,0.0,20.04950495049505,0.0,29.405940594059405,15.84158415841584
2015,0.0,0.0,0.0,22.30328295987493,0.0,36.63366336633664,0.0,0.0,0.0,27.67066180302241,13.392391870766025
2016,0.0,0.0,0.0,18.764733616218766,0.0,36.06789250353607,0.0,22.065063649222065,0.0,23.102310231023104,0.0
2017,0.0,0.0,0.0,25.84158415841584,0.0,33.069306930693074,0.0,18.217821782178216,0.0,22.871287128712872,0.0
2018,0.0,0.0,0.0,26.921263554926924,0.0,30.88165959453088,0.0,19.75483262611976,0.0,22.442244224422442,0.0
2019,0.0,0.0,0.0,23.55140186915888,0.0,34.53271028037383,0.0,19.485981308411212,0.0,22.429906542056074,0.0
2020,0.0,0.0,0.0,0.0,0.0,33.04498269896194,12.110726643598616,18.39677047289504,0.0,36.4475201845444,0.0
2021,0.0,0.0,0.0,14.65458663646659,0.0,27.79161947904869,0.0,26.52321630804077,0.0,31.030577576443942,0.0
2022,0.0,0.0,0.0,23.574468085106385,0.0,21.91489361702128,0.0,32.297872340425535,0.0,22.21276595744681,0.0
